ndc,order_id,vendor_name,order_date,received_date,quantity_ordered,quantity_received,program_flag
59322-3085-87,OR000030,Brown-Randolph,2025-05-16,2025-05-28,164,220,WAC
48422-3726-45,OR000031,Gutierrez-Smith,2025-05-04,2025-05-26,473,128,GPO
70493-5813-63,OR000032,Williams-Miller,2025-05-03,2025-05-03,281,420,GPO
66559-2856-97,OR000033,Weber LLC,2025-05-16,2025-05-08,436,435,GPO
64099-7896-32,OR000034,King PLC,2025-05-22,2025-05-13,259,449,GPO
47652-4226-51,OR000035,Vasquez Ltd,2025-05-03,2025-05-09,245,427,WAC
81134-2522-89,OR000036,Lamb and Sons,2025-05-10,2025-05-07,372,440,340B
56950-1684-99,OR000037,"Spencer, Stephens and Hodges",2025-05-03,2025-05-28,187,490,WAC
41262-6150-98,OR000038,"Peters, Wyatt and Diaz",2025-05-13,2025-05-28,472,499,WAC
18520-9105-96,OR000039,Aguilar-Gonzalez,2025-05-21,2025-05-03,325,114,GPO
77316-8508-66,OR000040,Delgado Group,2025-05-02,2025-05-12,392,413,340B
52741-1637-76,OR000041,Glenn-Travis,2025-05-03,2025-05-17,244,278,GPO
19860-1261-14,OR000042,Diaz Ltd,2025-05-10,2025-05-09,462,123,GPO
80829-5376-93,OR000043,Barrera and Sons,2025-05-12,2025-05-01,139,231,340B
92363-7410-44,OR000044,Wilson-Johnson,2025-05-27,2025-05-23,483,481,GPO
80654-7964-89,OR000045,Smith Ltd,2025-05-25,2025-05-10,228,106,WAC
70525-5966-16,OR000046,Wilson and Sons,2025-05-15,2025-05-17,357,271,340B
32533-7259-96,OR000047,Castaneda-Pope,2025-05-26,2025-05-05,140,89,GPO
34278-9373-14,OR000048,Long Inc,2025-05-14,2025-05-21,319,80,WAC
63335-5316-90,OR000049,"Stevenson, Ramsey and Beck",2025-05-17,2025-05-26,134,256,340B
32062-2833-80,OR000050,Crane-Perry,2025-05-06,2025-05-27,202,101,GPO
33186-6346-96,OR000051,"Cole, Richardson and Martinez",2025-05-28,2025-05-25,354,434,GPO
68279-3029-90,OR000052,"Taylor, Green and Phillips",2025-05-10,2025-05-11,121,452,GPO
41732-4475-29,OR000053,Anderson-Patterson,2025-05-06,2025-05-01,178,427,GPO
17079-9360-89,OR000054,Hess and Sons,2025-05-08,2025-05-04,246,435,GPO
70669-4970-99,OR000055,"Clark, Snyder and Sloan",2025-05-28,2025-05-11,214,142,340B
19626-4924-78,OR000056,Jones-Allison,2025-05-05,2025-05-20,262,408,340B
22734-9475-51,OR000057,Stevens-Porter,2025-05-14,2025-05-17,140,208,340B
73481-4958-85,OR000058,"Lane, Davis and Keller",2025-05-19,2025-05-05,207,472,WAC
82365-5121-73,OR000059,Odonnell LLC,2025-05-26,2025-05-26,274,390,340B
75714-7776-87,OR000060,"Fox, Martin and Carrillo",2025-05-11,2025-05-08,181,496,GPO
49964-1164-90,OR000061,"Rivera, Edwards and Butler",2025-05-03,2025-05-13,104,135,GPO
90449-8632-27,OR000062,"Williams, Freeman and Green",2025-05-07,2025-05-12,301,271,GPO
80654-7964-89,OR000063,Neal-Wright,2025-05-23,2025-05-11,478,233,WAC
66846-5233-34,OR000064,Cooper and Sons,2025-05-14,2025-05-19,345,167,WAC
19570-3571-86,OR000065,Walker-Hall,2025-05-15,2025-05-11,266,419,GPO
22591-9535-74,OR000066,Johnson LLC,2025-05-28,2025-05-24,247,440,340B
52193-9452-35,OR000067,Richards-Malone,2025-05-22,2025-05-18,231,462,GPO
89075-3395-46,OR000068,"Manning, Johnson and Evans",2025-05-08,2025-05-02,180,288,WAC
47273-5439-41,OR000069,Gibson-Leonard,2025-05-21,2025-05-19,483,228,340B
76400-7413-55,OR000070,Ward Ltd,2025-05-05,2025-05-28,477,252,GPO
56525-1716-68,OR000071,Thompson-Brock,2025-05-06,2025-05-05,434,264,WAC
57442-4336-98,OR000072,Hernandez-Schwartz,2025-05-25,2025-05-10,482,390,GPO
47273-5439-41,OR000073,"Owens, Silva and Love",2025-05-03,2025-05-19,448,185,WAC
78724-1109-77,OR000074,Quinn-Guerra,2025-05-02,2025-05-18,316,256,WAC
34363-8976-15,OR000075,"Nelson, Perez and Thomas",2025-05-25,2025-05-21,278,140,340B
29909-7228-16,OR000076,Martin-Cooper,2025-05-24,2025-05-18,438,294,WAC
34303-4883-78,OR000077,Barnett and Sons,2025-05-23,2025-05-28,474,374,GPO
66666-5481-64,OR000078,Smith PLC,2025-05-10,2025-05-09,176,233,GPO
32663-6889-19,OR000079,Adkins-Peters,2025-05-18,2025-05-14,374,450,340B
82564-8170-60,OR000080,"Martin, Johnson and Livingston",2025-05-07,2025-05-16,409,440,340B
80085-9578-85,OR000081,Ramirez PLC,2025-05-09,2025-05-12,123,368,340B
31394-7867-97,OR000082,Rubio-Taylor,2025-05-19,2025-05-27,280,166,340B
72747-4322-71,OR000083,Serrano-Perkins,2025-05-27,2025-05-22,333,271,340B
46773-1035-12,OR000084,"Kelly, Garcia and Rowe",2025-05-17,2025-05-24,176,203,340B
53697-7122-79,OR000085,Gray Ltd,2025-05-08,2025-05-23,187,122,GPO
54897-5936-18,OR000086,Terry Inc,2025-05-16,2025-05-09,464,500,GPO
67671-2432-86,OR000087,"Bradley, Jones and Bray",2025-05-26,2025-05-23,267,95,WAC
43176-3980-85,OR000088,"Cook, Jordan and Campbell",2025-05-22,2025-05-13,154,126,340B
57509-5465-31,OR000089,"Brown, Farrell and Gay",2025-05-18,2025-05-17,311,278,340B
95080-7992-68,OR000090,"Todd, Sexton and Bonilla",2025-05-05,2025-05-03,415,180,GPO
58995-2412-94,OR000091,Sanders PLC,2025-05-15,2025-05-11,249,456,WAC
12068-2582-79,OR000092,Trevino-Haynes,2025-05-04,2025-05-19,454,115,GPO
26343-9665-81,OR000093,"Allen, Hines and Brown",2025-05-13,2025-05-03,374,384,WAC
83606-6576-94,OR000094,"Gallegos, Byrd and Dixon",2025-05-25,2025-05-11,300,317,WAC
83993-2627-64,OR000095,"Andrews, Miller and Schneider",2025-05-27,2025-05-24,469,436,GPO
52952-5612-11,OR000096,White-Diaz,2025-05-06,2025-05-24,427,416,GPO
19461-5386-55,OR000097,"Hull, Richard and Stevenson",2025-05-09,2025-05-25,234,423,GPO
62580-7273-70,OR000098,Bauer-Hernandez,2025-05-06,2025-05-27,193,271,WAC
58041-2793-40,OR000099,Ray Inc,2025-05-18,2025-05-23,348,149,340B
66559-2856-97,OR000100,"Thornton, Hudson and Owens",2025-05-06,2025-05-03,361,137,WAC
82998-9790-75,OR000101,Scott Inc,2025-05-14,2025-05-04,221,187,WAC
80831-8102-90,OR000102,Rowland Group,2025-05-19,2025-05-12,484,482,GPO
43848-2571-47,OR000103,Garcia-Mendoza,2025-05-25,2025-05-27,493,127,GPO
66846-5233-34,OR000104,Vega Group,2025-05-28,2025-05-24,245,252,WAC
91786-4267-65,OR000105,"Spencer, Daniels and Rogers",2025-05-15,2025-05-01,240,127,WAC
88131-6543-45,OR000106,"Gonzales, Christensen and Perez",2025-05-25,2025-05-08,456,255,340B
94992-2141-61,OR000107,Garcia-Davis,2025-05-11,2025-05-12,432,164,GPO
11335-6320-10,OR000108,"Gibbs, Hammond and Hebert",2025-05-04,2025-05-19,453,93,WAC
37294-7548-71,OR000109,Davis and Sons,2025-05-16,2025-05-13,298,371,GPO
30706-5961-36,OR000110,"Pruitt, Reeves and Diaz",2025-05-07,2025-05-02,374,355,WAC
49555-2506-22,OR000111,Smith Ltd,2025-05-13,2025-05-19,322,139,GPO
29322-1577-77,OR000112,Cannon Ltd,2025-05-06,2025-05-16,319,219,WAC
66803-9939-85,OR000113,Perez-Myers,2025-05-19,2025-05-06,106,205,340B
31230-2949-74,OR000114,"James, Byrd and Craig",2025-05-14,2025-05-08,364,103,GPO
81517-4292-22,OR000115,Hernandez Group,2025-05-10,2025-05-19,103,289,340B
17142-7235-58,OR000116,Martinez-Savage,2025-05-24,2025-05-10,218,346,GPO
76067-5099-76,OR000117,Robinson LLC,2025-05-19,2025-05-19,219,118,340B
78978-9978-16,OR000118,"Hubbard, Hall and Olsen",2025-05-18,2025-05-12,460,436,WAC
77809-1449-35,OR000119,Kelly-Hayes,2025-05-10,2025-05-09,171,142,340B
19388-5117-89,OR000120,Santos-Ramirez,2025-05-19,2025-05-09,121,316,340B
41083-1284-27,OR000121,Gonzalez and Sons,2025-05-07,2025-05-06,381,325,340B
57442-4336-98,OR000122,Romero Ltd,2025-05-26,2025-05-18,192,93,GPO
97999-4436-64,OR000123,Gonzalez-Davis,2025-05-06,2025-05-04,188,170,340B
32455-7548-78,OR000124,Higgins PLC,2025-05-27,2025-05-26,269,394,340B
28458-5420-76,OR000125,Reed-Griffin,2025-05-25,2025-05-04,169,160,WAC
86986-6354-33,OR000126,Turner LLC,2025-05-22,2025-05-19,408,242,WAC
78978-9978-16,OR000127,Thomas Inc,2025-05-06,2025-05-21,155,448,340B
82564-8170-60,OR000128,Underwood-Hoffman,2025-05-04,2025-05-27,137,255,340B
31230-2949-74,OR000129,Beard and Sons,2025-05-01,2025-05-14,383,449,WAC
32533-7259-96,OR000130,Larson Inc,2025-05-27,2025-05-16,113,185,340B
45206-4286-61,OR000131,"Bauer, Stevenson and Roberts",2025-05-03,2025-05-21,234,195,GPO
97981-9753-58,OR000132,Thomas PLC,2025-05-18,2025-05-02,392,344,WAC
77809-1449-35,OR000133,"Schmidt, Thomas and Austin",2025-05-02,2025-05-14,303,362,GPO
90119-4863-39,OR000134,Wilson-Gamble,2025-05-19,2025-05-19,435,328,WAC
44173-4190-92,OR000135,Ware-Walker,2025-05-13,2025-05-02,243,331,WAC
96466-1897-26,OR000136,Roach LLC,2025-05-14,2025-05-20,181,113,GPO
78724-1109-77,OR000137,Lewis-Schroeder,2025-05-27,2025-05-02,163,428,340B
18556-7178-41,OR000138,Tran LLC,2025-05-27,2025-05-09,205,217,WAC
96272-2683-81,OR000139,Ellis Inc,2025-05-08,2025-05-09,446,346,WAC
22180-1129-36,OR000140,Scott PLC,2025-05-10,2025-05-22,364,471,340B
81517-4292-22,OR000141,Williams-Evans,2025-05-13,2025-05-13,253,167,WAC
55405-1997-75,OR000142,"Stafford, Gonzales and Williams",2025-05-25,2025-05-06,399,230,GPO
54289-7762-61,OR000143,Bishop-Roth,2025-05-17,2025-05-10,466,172,340B
35990-7665-11,OR000144,Steele and Sons,2025-05-25,2025-05-06,102,99,WAC
59997-6478-98,OR000145,Scott LLC,2025-05-08,2025-05-08,248,313,WAC
21680-8960-18,OR000146,Good PLC,2025-05-06,2025-05-26,464,413,340B
68701-7547-40,OR000147,Smith-Reyes,2025-05-04,2025-05-14,438,131,WAC
64155-1565-83,OR000148,Hodges and Sons,2025-05-04,2025-05-26,182,100,WAC
54289-7762-61,OR000149,Johnson-White,2025-05-27,2025-05-19,251,215,GPO
99268-6528-17,OR000150,Mcfarland-Vega,2025-05-04,2025-05-28,275,173,340B
44853-3901-77,OR000151,Moore-Brown,2025-05-05,2025-05-23,283,393,340B
80654-7964-89,OR000152,Phillips and Sons,2025-05-11,2025-05-01,277,419,WAC
83993-2627-64,OR000153,Stanton PLC,2025-05-28,2025-05-06,220,120,GPO
98770-4276-66,OR000154,Thompson-Johnson,2025-05-01,2025-05-04,443,313,GPO
33479-5759-31,OR000155,"Clark, Brown and Goodman",2025-05-22,2025-05-12,154,103,340B
11335-6320-10,OR000156,Callahan-Gonzalez,2025-05-13,2025-05-07,437,381,WAC
32455-7548-78,OR000157,Palmer-Proctor,2025-05-19,2025-05-06,454,470,340B
79575-4630-40,OR000158,Bailey-Cohen,2025-05-17,2025-05-10,377,435,WAC
96978-3976-40,OR000159,Brown PLC,2025-05-17,2025-05-04,131,433,GPO
63842-6371-48,OR000160,"Henry, Torres and Drake",2025-05-28,2025-05-08,450,240,WAC
38213-6609-79,OR000161,Vaughn LLC,2025-05-12,2025-05-25,363,141,GPO
78978-9978-16,OR000162,Brown LLC,2025-05-15,2025-05-23,393,361,GPO
44853-3901-77,OR000163,Phillips and Sons,2025-05-18,2025-05-18,416,351,GPO
96466-1897-26,OR000164,Delgado-Kirk,2025-05-22,2025-05-11,251,413,340B
44853-3901-77,OR000165,"Rowe, Moran and Bailey",2025-05-22,2025-05-21,335,447,GPO
73481-4958-85,OR000166,Hill and Sons,2025-05-09,2025-05-14,481,379,340B
63752-8405-88,OR000167,"Lewis, Moore and Parrish",2025-05-13,2025-05-13,446,487,WAC
31394-7867-97,OR000168,"Reed, Patel and Farrell",2025-05-18,2025-05-03,415,209,340B
67743-8662-33,OR000169,"Meyer, Mcfarland and Rollins",2025-05-03,2025-05-09,135,179,GPO
94992-2141-61,OR000170,Taylor-Benitez,2025-05-06,2025-05-01,283,476,GPO
19388-5117-89,OR000171,"Gibson, Larsen and Lee",2025-05-21,2025-05-03,233,358,WAC
46693-6681-95,OR000172,"Davis, Rivera and King",2025-05-13,2025-05-12,389,369,WAC
26439-2193-41,OR000173,Hays-Garcia,2025-05-02,2025-05-22,366,404,GPO
54532-2869-86,OR000174,Adams-Scott,2025-05-17,2025-05-09,184,197,340B
84800-2544-22,OR000175,Miller Inc,2025-05-22,2025-05-08,122,145,WAC
53828-8546-76,OR000176,Lowery-Lane,2025-05-20,2025-05-19,310,387,340B
94585-7194-28,OR000177,Jenkins-Moran,2025-05-13,2025-05-13,343,394,WAC
71307-2488-64,OR000178,Williams-Krueger,2025-05-01,2025-05-25,493,275,GPO
31100-4368-95,OR000179,Powell PLC,2025-05-10,2025-05-20,103,272,WAC
85575-7702-70,OR000180,Rodgers and Sons,2025-05-28,2025-05-18,289,366,WAC
36217-4424-81,OR000181,"Lewis, Aguirre and Jones",2025-05-26,2025-05-23,425,82,340B
56950-1684-99,OR000182,"Vazquez, Thompson and David",2025-05-02,2025-05-24,105,183,WAC
61316-4770-72,OR000183,Choi and Sons,2025-05-02,2025-05-12,107,457,WAC
19461-5386-55,OR000184,Alvarez Group,2025-05-13,2025-05-19,362,211,WAC
57907-5673-14,OR000185,"Mahoney, Santiago and Williams",2025-05-25,2025-05-15,280,344,WAC
93462-1869-39,OR000186,Green Ltd,2025-05-18,2025-05-06,476,203,GPO
54532-2869-86,OR000187,Melton PLC,2025-05-22,2025-05-16,491,341,GPO
52741-1637-76,OR000188,"Parker, Hudson and Berry",2025-05-12,2025-05-13,397,131,GPO
74339-5473-28,OR000189,Sparks and Sons,2025-05-12,2025-05-06,167,374,WAC
55708-1368-13,OR000190,Archer Ltd,2025-05-26,2025-05-24,228,367,WAC
87172-9661-23,OR000191,Howard-Bright,2025-05-15,2025-05-24,279,427,WAC
52535-2692-60,OR000192,Pope Ltd,2025-05-24,2025-05-15,413,372,GPO
36688-3617-30,OR000193,Weber and Sons,2025-05-20,2025-05-21,111,144,WAC
52252-4529-52,OR000194,Gentry-Martinez,2025-05-18,2025-05-02,226,457,GPO
34977-3411-28,OR000195,Bryant PLC,2025-05-16,2025-05-15,427,407,WAC
95153-5139-60,OR000196,Vasquez-Davis,2025-05-10,2025-05-01,320,488,GPO
79486-9432-10,OR000197,"Anderson, Gillespie and Thomas",2025-05-23,2025-05-24,432,460,WAC
80345-6736-20,OR000198,Lopez-Tate,2025-05-15,2025-05-09,237,144,WAC
46802-8333-96,OR000199,Brown-Whitaker,2025-05-26,2025-05-26,300,116,WAC
95080-7992-68,OR000200,Tucker LLC,2025-05-25,2025-05-15,259,245,340B
81572-2876-57,OR000201,Bailey-Ramirez,2025-05-28,2025-05-22,224,84,340B
31394-7867-97,OR000202,Allison Ltd,2025-05-20,2025-05-11,262,365,WAC
45880-1586-65,OR000203,"Castro, Jensen and Moore",2025-05-16,2025-05-23,406,363,340B
22734-9475-51,OR000204,Foster PLC,2025-05-21,2025-05-17,375,499,GPO
25883-5152-27,OR000205,Morales-Thomas,2025-05-04,2025-05-17,116,372,WAC
32062-2833-80,OR000206,Jones LLC,2025-05-07,2025-05-21,120,455,340B
26314-6281-52,OR000207,Melendez-Jones,2025-05-22,2025-05-08,440,298,340B
94585-7194-28,OR000208,"Burke, Moore and Lee",2025-05-12,2025-05-11,492,361,WAC
50231-2676-63,OR000209,"Weiss, Martin and Sexton",2025-05-17,2025-05-05,335,262,340B
11366-5963-57,OR000210,Warren and Sons,2025-05-07,2025-05-24,474,493,WAC
27358-8137-97,OR000211,Cannon-Adams,2025-05-08,2025-05-24,457,193,340B
66656-8333-60,OR000212,"Elliott, Klein and Steele",2025-05-11,2025-05-03,201,329,GPO
83479-5126-40,OR000213,Weaver-Jones,2025-05-19,2025-05-03,415,500,GPO
32109-4667-15,OR000214,"Anderson, Smith and Walker",2025-05-28,2025-05-03,330,321,340B
83993-2627-64,OR000215,Turner Inc,2025-05-20,2025-05-24,456,396,GPO
46843-7902-81,OR000216,Jones-Rivera,2025-05-12,2025-05-28,405,352,340B
34303-4883-78,OR000217,"Butler, Morris and Vang",2025-05-13,2025-05-24,298,497,340B
36217-4424-81,OR000218,"Preston, Evans and Lynn",2025-05-17,2025-05-22,167,185,WAC
29702-9239-34,OR000219,Adams-Cox,2025-05-25,2025-05-05,174,452,340B
93725-6530-48,OR000220,Barton Inc,2025-05-05,2025-05-25,451,93,GPO
12034-5397-25,OR000221,Harvey-Adkins,2025-05-07,2025-05-08,324,395,GPO
73521-4609-17,OR000222,Rios and Sons,2025-05-13,2025-05-24,121,205,WAC
33824-9319-91,OR000223,"Ramsey, Lawrence and Grimes",2025-05-15,2025-05-13,430,311,340B
57442-4336-98,OR000224,"Patterson, Baker and Rodriguez",2025-05-06,2025-05-15,461,310,WAC
58014-6201-51,OR000225,"Arias, Henson and Mckee",2025-05-06,2025-05-11,420,172,340B
65851-9949-32,OR000226,Washington Group,2025-05-01,2025-05-20,380,222,WAC
44853-3901-77,OR000227,Mcdowell Inc,2025-05-28,2025-05-02,438,434,WAC
85455-8230-73,OR000228,"Taylor, Ramirez and Ferrell",2025-05-11,2025-05-12,311,348,340B
22591-9535-74,OR000229,Taylor-Lara,2025-05-24,2025-05-23,388,334,WAC
98354-6103-25,OR000230,"Williams, Schultz and Espinoza",2025-05-21,2025-05-26,244,210,340B
19461-5386-55,OR000231,Bernard Group,2025-05-19,2025-05-20,179,401,GPO
52564-3256-37,OR000232,"Watkins, Powell and Crawford",2025-05-18,2025-05-18,115,253,GPO
42263-7126-25,OR000233,"Moore, Allen and Church",2025-05-23,2025-05-02,291,481,340B
99082-7092-28,OR000234,Hawkins-Foster,2025-05-16,2025-05-24,298,445,WAC
43176-3980-85,OR000235,Buck Inc,2025-05-22,2025-05-24,372,243,GPO
19860-1261-14,OR000236,Thompson PLC,2025-05-04,2025-05-07,259,393,GPO
82365-5121-73,OR000237,"Odonnell, Warren and Navarro",2025-05-03,2025-05-14,201,445,WAC
51803-1585-43,OR000238,Smith-Elliott,2025-05-23,2025-05-25,440,249,GPO
46843-7902-81,OR000239,"Holden, Schneider and Klein",2025-05-10,2025-05-25,254,352,GPO
24830-9928-67,OR000240,Jones-Lopez,2025-05-07,2025-05-27,464,373,GPO
46843-7902-81,OR000241,Parks PLC,2025-05-13,2025-05-03,171,377,WAC
49964-1164-90,OR000242,Armstrong-Green,2025-05-07,2025-05-07,361,286,340B
51810-3092-81,OR000243,"Pittman, Atkinson and Hernandez",2025-05-01,2025-05-08,171,176,WAC
76067-5099-76,OR000244,"Shields, Henry and Barker",2025-05-05,2025-05-24,360,297,WAC
81517-4292-22,OR000245,Patterson Group,2025-05-24,2025-05-08,288,137,WAC
78208-1768-99,OR000246,Houston Ltd,2025-05-16,2025-05-21,362,320,WAC
95080-7992-68,OR000247,Perez-Gonzales,2025-05-10,2025-05-24,142,144,WAC
45599-5058-82,OR000248,Saunders PLC,2025-05-06,2025-05-19,370,96,GPO
74737-1976-92,OR000249,Smith-Rodriguez,2025-05-24,2025-05-21,304,323,GPO
54637-5116-36,OR000250,Hale-Williams,2025-05-01,2025-05-10,238,216,340B
11730-1910-67,OR000251,Wilkins-Douglas,2025-05-11,2025-05-18,245,208,340B
66559-2856-97,OR000252,Rogers Inc,2025-05-03,2025-05-28,339,418,340B
20039-1148-59,OR000253,Stewart-Perez,2025-05-02,2025-05-13,301,171,WAC
67743-8662-33,OR000254,"White, Key and King",2025-05-03,2025-05-03,177,438,GPO
24101-3041-63,OR000255,"Jackson, Harrington and Jensen",2025-05-26,2025-05-03,255,285,340B
35528-3716-57,OR000256,Clark and Sons,2025-05-06,2025-05-18,423,304,WAC
14856-4905-18,OR000257,Jones and Sons,2025-05-21,2025-05-10,434,421,WAC
85235-1789-99,OR000258,"Armstrong, Merritt and Ortega",2025-05-16,2025-05-20,402,112,340B
52252-4529-52,OR000259,"Williams, Matthews and Gutierrez",2025-05-22,2025-05-13,132,141,GPO
28907-9325-49,OR000260,"Moore, Simpson and Thomas",2025-05-26,2025-05-28,433,383,GPO
22840-5947-97,OR000261,Lynn-Burnett,2025-05-08,2025-05-06,102,365,340B
43387-9862-13,OR000262,Stewart LLC,2025-05-22,2025-05-07,122,107,WAC
73818-1989-61,OR000263,Johns-Adams,2025-05-04,2025-05-24,201,462,WAC
80413-9349-36,OR000264,Nguyen Inc,2025-05-13,2025-05-08,298,271,340B
11730-1910-67,OR000265,Gray Inc,2025-05-02,2025-05-09,426,393,340B
23205-9794-89,OR000266,Sanchez-Watson,2025-05-27,2025-05-15,393,82,GPO
30706-5961-36,OR000267,Booth PLC,2025-05-27,2025-05-04,251,202,WAC
45006-6999-14,OR000268,"Singh, Anthony and Hicks",2025-05-15,2025-05-25,453,250,WAC
10137-5123-57,OR000269,"Chavez, Stevens and Peterson",2025-05-11,2025-05-24,431,366,WAC
40305-6430-27,OR000270,Pace-Johnson,2025-05-24,2025-05-25,290,256,GPO
48422-3726-45,OR000271,Harper-Small,2025-05-20,2025-05-12,184,221,340B
30763-2625-77,OR000272,Mason-Harris,2025-05-18,2025-05-05,218,346,WAC
62543-9556-12,OR000273,Velasquez LLC,2025-05-18,2025-05-15,494,104,340B
97637-3166-19,OR000274,"Reynolds, Daniels and Whitaker",2025-05-23,2025-05-22,194,185,WAC
82365-5121-73,OR000275,"Garcia, Mejia and Young",2025-05-10,2025-05-04,461,231,GPO
56813-9159-65,OR000276,Ramirez-Davis,2025-05-05,2025-05-22,411,408,340B
44831-4793-19,OR000277,Strong-Cruz,2025-05-22,2025-05-03,466,298,GPO
57775-1611-89,OR000278,"Harris, Sosa and Smith",2025-05-07,2025-05-24,206,235,GPO
27661-6863-63,OR000279,"Finley, Horton and Beard",2025-05-18,2025-05-15,386,458,GPO
85320-2546-66,OR000280,Brooks-Wilkinson,2025-05-21,2025-05-22,134,386,WAC
19906-6626-53,OR000281,"Bennett, Howell and Shelton",2025-05-24,2025-05-19,239,264,GPO
87172-9661-23,OR000282,Harper Inc,2025-05-21,2025-05-06,373,376,GPO
72399-7465-87,OR000283,Morgan-Brown,2025-05-05,2025-05-17,139,139,340B
79833-2829-70,OR000284,Douglas Group,2025-05-06,2025-05-23,166,120,GPO
62580-7273-70,OR000285,Hicks LLC,2025-05-22,2025-05-17,408,185,WAC
51142-1317-52,OR000286,Stone Group,2025-05-12,2025-05-12,198,224,340B
93462-1869-39,OR000287,Wallace Ltd,2025-05-06,2025-05-15,260,143,GPO
38256-8901-57,OR000288,Terry Group,2025-05-16,2025-05-04,319,176,340B
80603-6250-97,OR000289,"Mason, Pierce and Edwards",2025-05-03,2025-05-04,273,182,WAC
11927-7963-80,OR000290,Wade PLC,2025-05-09,2025-05-25,332,135,340B
48976-6024-32,OR000291,Smith-Fields,2025-05-16,2025-05-22,484,346,GPO
26627-3578-61,OR000292,Johnston Inc,2025-05-18,2025-05-18,190,365,WAC
68410-3439-86,OR000293,"Simpson, Thompson and Williams",2025-05-25,2025-05-04,234,333,WAC
65255-9526-23,OR000294,Hamilton-Pitts,2025-05-27,2025-05-12,225,206,340B
36742-7131-77,OR000295,Murphy Group,2025-05-11,2025-05-02,392,279,GPO
86533-6291-42,OR000296,Williams and Sons,2025-05-11,2025-05-06,235,104,GPO
89328-5616-94,OR000297,"Clark, Edwards and Calderon",2025-05-16,2025-05-14,305,208,WAC
30763-2625-77,OR000298,"Rodriguez, Mason and Kirk",2025-05-27,2025-05-24,175,203,340B
64466-4027-31,OR000299,Vazquez and Sons,2025-05-27,2025-05-10,258,317,GPO
70330-2704-36,OR000300,Rodgers-Jenkins,2025-05-26,2025-05-09,132,288,GPO
54532-2869-86,OR000301,"Frey, Lee and Peterson",2025-05-22,2025-05-27,316,191,340B
87674-7540-39,OR000302,"Rush, Walsh and Howell",2025-05-18,2025-05-12,288,500,GPO
66559-2856-97,OR000303,"Mathis, Nguyen and Christensen",2025-05-12,2025-05-26,487,200,GPO
36915-6203-49,OR000304,"Davis, Chan and Hardy",2025-05-16,2025-05-16,315,388,WAC
90405-1663-24,OR000305,Hernandez-Briggs,2025-05-01,2025-05-13,344,456,340B
55405-1997-75,OR000306,Lee-Cruz,2025-05-13,2025-05-27,234,439,340B
36742-7131-77,OR000307,Collins-Murphy,2025-05-01,2025-05-23,353,275,340B
